activation,control_ssim,finetune_lr,finetune_optimizer,full_coeff_error,full_ssim,lora_coeff_error,lora_ssim,lr_schedule,n_per_class,n_steps,rank,seed,task
leaky_relu,0.6926798224449158,0.01,sgd,6.689093723366568e-15,0.9999916553497314,,,constant,1,1,,42,b6_seeds
leaky_relu,0.6367954015731812,0.01,sgd,,,0.02229235199158794,0.8302084803581238,constant,1,1,8,42,b6_seeds
leaky_relu,0.629507303237915,0.01,sgd,0.05274080004514514,0.8363942503929138,,,inv_T,1,10,,42,b6_seeds
leaky_relu,0.6305353045463562,0.01,sgd,,,0.0467493615898657,0.8131872415542603,inv_T,1,10,8,42,b6_seeds
leaky_relu,0.342271089553833,0.001,adamw,0.03518214093626326,0.46093860268592834,,,constant,1,1,,42,b6_seeds
leaky_relu,0.37967562675476074,0.001,adamw,,,0.0003234001688119381,0.5402764081954956,constant,1,1,8,42,b6_seeds
leaky_relu,0.3643559217453003,0.001,adamw,0.24643002735148753,0.5124304890632629,,,inv_T,1,10,,42,b6_seeds
leaky_relu,0.38289183378219604,0.001,adamw,,,0.0003403154453741619,0.5442489981651306,inv_T,1,10,8,42,b6_seeds
leaky_relu,0.3184923231601715,0.01,sgd,0.23604389368651782,0.527492880821228,,,constant,1,1,,7,b6_seeds
leaky_relu,0.3184922933578491,0.01,sgd,,,0.2360439423097754,0.527492880821228,constant,1,1,8,7,b6_seeds
leaky_relu,0.3184923231601715,0.01,sgd,0.23604389368660486,0.527492880821228,,,inv_T,1,10,,7,b6_seeds
leaky_relu,0.3184922933578491,0.01,sgd,,,0.236043942309788,0.527492880821228,inv_T,1,10,8,7,b6_seeds
leaky_relu,0.18472570180892944,0.001,adamw,0.0019210831429619902,0.39824336767196655,,,constant,1,1,,7,b6_seeds
leaky_relu,0.1865040808916092,0.001,adamw,,,0.007190311985816048,0.3915027379989624,constant,1,1,8,7,b6_seeds
leaky_relu,0.18544381856918335,0.001,adamw,0.003314207444559086,0.3964184522628784,,,inv_T,1,10,,7,b6_seeds
leaky_relu,0.18740049004554749,0.001,adamw,,,0.008373574424392476,0.3926832377910614,inv_T,1,10,8,7,b6_seeds
leaky_relu,0.4004763662815094,0.01,sgd,0.25235236126993377,0.5469112992286682,,,constant,1,1,,123,b6_seeds
leaky_relu,0.40047550201416016,0.01,sgd,,,0.25235491516276504,0.5469100475311279,constant,1,1,8,123,b6_seeds
leaky_relu,0.4004763662815094,0.01,sgd,0.25235236138828326,0.5469112992286682,,,inv_T,1,10,,123,b6_seeds
leaky_relu,0.40047550201416016,0.01,sgd,,,0.25235491516794795,0.5469100475311279,inv_T,1,10,8,123,b6_seeds
leaky_relu,0.25681501626968384,0.001,adamw,0.0017006814697079378,0.4020065665245056,,,constant,1,1,,123,b6_seeds
leaky_relu,0.2577532231807709,0.001,adamw,,,0.0037644870594938417,0.39227741956710815,constant,1,1,8,123,b6_seeds
leaky_relu,0.2570357918739319,0.001,adamw,0.001544627254449675,0.3979475200176239,,,inv_T,1,10,,123,b6_seeds
leaky_relu,0.2579503655433655,0.001,adamw,,,0.00422697842957673,0.3926849365234375,inv_T,1,10,8,123,b6_seeds
leaky_relu,0.3938175141811371,0.01,sgd,0.2661907288525181,0.5157309174537659,,,constant,1,1,,999,b6_seeds
leaky_relu,0.3938175141811371,0.01,sgd,,,0.2661907291365066,0.5157309174537659,constant,1,1,8,999,b6_seeds
leaky_relu,0.3938175141811371,0.01,sgd,0.26619072885251843,0.5157309174537659,,,inv_T,1,10,,999,b6_seeds
leaky_relu,0.3938175141811371,0.01,sgd,,,0.26619072913650665,0.5157309174537659,inv_T,1,10,8,999,b6_seeds
leaky_relu,0.31668710708618164,0.001,adamw,0.18087994336866217,0.4346592426300049,,,constant,1,1,,999,b6_seeds
leaky_relu,0.33005815744400024,0.001,adamw,,,0.22083317885037812,0.4481534957885742,constant,1,1,8,999,b6_seeds
leaky_relu,0.3178718388080597,0.001,adamw,0.18454151477995573,0.43586528301239014,,,inv_T,1,10,,999,b6_seeds
leaky_relu,0.33032238483428955,0.001,adamw,,,0.22162384028294915,0.44841068983078003,inv_T,1,10,8,999,b6_seeds
leaky_relu,0.38744205236434937,0.01,sgd,0.22620001386469063,0.5425387620925903,,,constant,1,1,,2026,b6_seeds
leaky_relu,0.37685832381248474,0.01,sgd,,,0.24039443486883436,0.5267879962921143,constant,1,1,8,2026,b6_seeds
leaky_relu,0.38126665353775024,0.01,sgd,0.23497945455723027,0.5332916975021362,,,inv_T,1,10,,2026,b6_seeds
leaky_relu,0.37629178166389465,0.01,sgd,,,0.24218943572188362,0.5257004499435425,inv_T,1,10,8,2026,b6_seeds
leaky_relu,0.2288266271352768,0.001,adamw,0.01064194049029838,0.383120596408844,,,constant,1,1,,2026,b6_seeds
leaky_relu,0.23808206617832184,0.001,adamw,,,0.014908486714431488,0.37119221687316895,constant,1,1,8,2026,b6_seeds
leaky_relu,0.23234175145626068,0.001,adamw,0.016240739684620427,0.3737403154373169,,,inv_T,1,10,,2026,b6_seeds
leaky_relu,0.23777040839195251,0.001,adamw,,,0.015348725376940747,0.3706260323524475,inv_T,1,10,8,2026,b6_seeds
