file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,finetune_activation,loss_type,n_steps,rank,seed,lr,n_per_class,anchor_alpha,dataset,source,finetune_optimizer,verify_weight
exp_b_T1_fashion_r8_s42_a149_celu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,1.453889815704755e-07,2,0.999999999999635,True,celu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_celu_npc5_vw5.pth,lora,0.14656537771224976,0.18775716423988342,0.2191709280014038,0.23562124371528625,0.20695526897907257,1548.2318115234375,12.527593612670898,0.23125000298023224,-0.9815119105911032,1.827781393404997,0.07680223882198334,0.09754590690135956,0.16801729798316956,0.06976313889026642,0.05115363001823425,0.03184197558441843,3,0.9972628379702805,False,celu,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_elu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,1.453889815704755e-07,2,0.999999999999635,True,elu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_elu_npc5_vw5.pth,lora,0.14656537771224976,0.18775716423988342,0.2191709280014038,0.23562124371528625,0.20695526897907257,1548.2318115234375,12.527593612670898,0.23125000298023224,-0.9815119105911032,1.827781393404997,0.07680223882198334,0.09754590690135956,0.16801729798316956,0.06976313889026642,0.05115363001823425,0.03184197558441843,3,0.9972628379702805,False,elu,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_gelu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,0.0004885405709274569,2,0.9999941185859392,True,gelu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_gelu_npc5.pth,lora,0.1446809023618698,0.19392672181129456,0.22006697952747345,0.238458514213562,0.20695526897907257,1538.2928466796875,11.854494094848633,0.21581633388996124,-0.9466664954795108,1.8274376101426908,0.06760242581367493,0.09607542306184769,0.16175734996795654,0.07707847654819489,0.05830962955951691,0.010132725000260079,8,0.999303536050571,False,gelu,l2,1,8,42,0.01,5,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_gelu_tanh.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,0.0004885464529243362,2,0.9999941186363169,True,gelu_tanh,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_gelu_tanh_npc5_vw5.pth,lora,0.1433701366186142,0.1923287808895111,0.21886804699897766,0.2367888242006302,0.20695526897907257,1536.835205078125,11.921186447143555,0.21849489212036133,-0.9466583818597999,1.8274495221697031,0.06670325994491577,0.09519489109516144,0.15984919667243958,0.07666687667369843,0.059018850326538086,0.010132529925507061,8,0.9993036687945737,False,gelu_tanh,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_hardswish.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,0.0006361547506579108,2,0.9999931095674419,True,hardswish,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_hardswish_npc5_vw5.pth,lora,0.15379421412944794,0.2010914832353592,0.2355293333530426,0.24721217155456543,0.20695526897907257,1573.424072265625,10.47649097442627,0.1469387710094452,-0.8932397665573157,1.816424343867822,0.07809606939554214,0.10353027284145355,0.18378996849060059,0.07569814473390579,0.05173936486244202,0.008858280748226578,8,0.9997509721732305,True,hardswish,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_leaky_relu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,6.784423773123196e-06,2,0.9999449273332629,True,leaky_relu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_leaky_relu_npc5_vw5.pth,lora,0.17797809839248657,0.23646488785743713,0.27693992853164673,0.30011019110679626,0.20695526897907257,1415.0521240234375,8.677881240844727,0.06071428582072258,-0.09877123597302134,0.9297369970622081,0.0905681848526001,0.12940864264965057,0.20273835957050323,0.08740991353988647,0.0742015689611435,0.02650045442679199,5,0.9343481536599164,False,leaky_relu,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
