activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lr_schedule,n_steps,phase,rank,seed,weight_change
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,constant,1,3,,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,inv_sqrt_T,1,3,,42,0.02492856502813777
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,inv_T,1,3,,42,0.02492856502813777
leaky_relu,0.6316116452217102,0.01,0.7518228019889677,0.9998474766855738,0.8421989679336548,constant,2,3,,42,0.024930466431786313
leaky_relu,0.6316088438034058,0.0070710678118654745,0.7855011087855208,0.9937200082847308,0.8422710299491882,inv_sqrt_T,2,3,,42,0.017682842713615806
leaky_relu,0.6320231556892395,0.005,0.8102437819562142,0.8994453568087725,0.845870852470398,inv_T,2,3,,42,0.013143267583402798
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,constant,5,3,,42,0.024936140054362562
leaky_relu,0.6234163045883179,0.004472135954999579,0.803800704761473,3.177960433293011,0.8109949231147766,inv_sqrt_T,5,3,,42,0.01337617645671231
leaky_relu,0.630163311958313,0.002,0.8148183950873924,1.191649629112246,0.8387608528137207,inv_T,5,3,,42,0.011563235290026714
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,constant,10,3,,42,0.024945487748499216
leaky_relu,0.6187412738800049,0.0031622776601683794,0.8007952921161641,4.837961766838052,0.7974894046783447,inv_sqrt_T,10,3,,42,0.01356028023923925
leaky_relu,0.629507303237915,0.001,0.816997912446757,1.2841674040949766,0.8363942503929138,inv_T,10,3,,42,0.011155678182667004
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,constant,20,3,,42,0.02496375694299293
leaky_relu,0.6127949357032776,0.0022360679774997894,0.7998674187682624,7.220364917503652,0.7836004495620728,inv_sqrt_T,20,3,,42,0.013615161299147227
leaky_relu,0.6292121410369873,0.0005,0.8174809665409939,1.3270624129867343,0.8353537321090698,inv_T,20,3,,42,0.010981924364164087
leaky_relu,0.6132067441940308,0.01,0.7489127631422919,48.825718262866936,0.7704281806945801,constant,50,3,,42,0.025015767862091566
leaky_relu,0.6122543811798096,0.001414213562373095,0.7944554668600592,11.610871541556852,0.7776433229446411,inv_sqrt_T,50,3,,42,0.014022756741494486
leaky_relu,0.6290407776832581,0.0002,0.8171286500493438,1.3529791795436117,0.8347165584564209,inv_T,50,3,,42,0.010880828406301491
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,constant,100,3,,42,0.025093954834865005
leaky_relu,0.6142300367355347,0.001,0.7881773949120752,16.353704842997693,0.7773851156234741,inv_sqrt_T,100,3,,42,0.014403012297349044
leaky_relu,0.6289749145507812,0.0001,0.8171398782612566,1.3610205825320423,0.8345026969909668,inv_T,100,3,,42,0.010848664215103969
leaky_relu,nan,0.01,0.7419601511908762,487.427833761319,nan,constant,500,3,,42,0.025519220202738353
leaky_relu,0.6131850481033325,0.0004472135954999579,0.7768343687978064,35.31077505448935,0.7712194919586182,inv_sqrt_T,500,3,,42,0.015374119148310498
leaky_relu,0.628926157951355,2e-05,0.8172272927976266,1.3674905553770254,0.8343427777290344,inv_T,500,3,,42,0.010823463745129849
leaky_relu,nan,0.01,0.7342975935554935,963.8310008079832,nan,constant,1000,3,,42,0.025837270037833864
leaky_relu,0.6128113865852356,0.00031622776601683794,0.773151400182154,48.924079250770994,0.7692595720291138,inv_sqrt_T,1000,3,,42,0.01580784945921005
leaky_relu,0.62892085313797,1e-05,0.817228341634056,1.368241940672204,0.8343242406845093,inv_T,1000,3,,42,0.010820459336514116
