file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,finetune_activation,loss_type,n_steps,rank,seed,lr,n_per_class,anchor_alpha
exp_b_T1_r8_s42_a149_elu.pth,lora,0.023174501955509186,0.004579000174999237,0.150098979473114,0.056961141526699066,0.7630242109298706,1423.31103515625,19.672475814819336,0.5784438848495483,-1.0000134586299718,1.9980478344639747,0.03644958883523941,0.037701260298490524,0.10676190257072449,-0.013275086879730225,0.043337076902389526,0.12513425357299604,2,0.8081314248480684,False,elu,l2,1,8,42,0.01,1,0.0
exp_b_T1_r8_s42_a149_elu_lr0.03.pth,lora,0.01387060433626175,-0.0014020875096321106,0.12191387265920639,0.03855917602777481,0.7630242109298706,1428.0810546875,19.999923706054688,0.6211734414100647,-1.0001568997107915,1.9980942893323757,0.024570129811763763,0.026249133050441742,0.09046666324138641,-0.010699525475502014,0.03144720941781998,0.37540276071898815,2,0.4013043401978551,False,elu,l2,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_elu_lr0.1.pth,lora,0.023051634430885315,0.002417962998151779,0.10388906300067902,0.03052622079849243,0.7630242109298706,1424.6263427734375,20.439212799072266,0.6294642686843872,-1.0016247115069616,1.9986321943178686,0.03210088983178139,0.024571627378463745,0.07579606771469116,-0.009049255400896072,0.028092995285987854,1.2513425357299603,2,0.13096943409051853,False,elu,l2,1,8,42,0.1,1,0.0
exp_b_T1_r8_s42_a149_gelu.pth,lora,0.04127294570207596,0.02985425293445587,0.19819709658622742,0.08435560762882233,0.7630242109298706,1329.0765380859375,17.97730255126953,0.5625,-1.000012282920453,1.998044099624291,0.020253609865903854,0.017619838938117027,0.10256896913051605,0.021019335836172104,0.09562812745571136,0.03911104013818542,2,0.9647047550397643,False,gelu,l2,1,8,42,0.01,1,
exp_b_T1_r8_s42_a149_gelu_lr0.03.pth,lora,0.038059961050748825,0.02715863101184368,0.1601969599723816,0.06636855006217957,0.7630242109298706,1335.3021240234375,18.412052154541016,0.5835459232330322,-1.0001140022008423,1.9980858622532292,0.01798037812113762,0.015575219877064228,0.08231794834136963,0.020079582929611206,0.07787901163101196,0.11733312041455628,2,0.7656592601386689,False,gelu,l2,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_gelu_lr0.1.pth,lora,0.03837776184082031,0.02748957648873329,0.1649685949087143,0.06846609711647034,0.7630242109298706,1334.129150390625,18.346220016479492,0.5880101919174194,-1.0012634931802094,1.998548237380623,0.018196072429418564,0.015852315351366997,0.08478815853595734,0.02018168941140175,0.08018043637275696,0.39111040138185427,2,0.3267390080655188,False,gelu,l2,1,8,42,0.1,1,0.0
exp_b_T1_r8_s42_a149_gelu_lr0.3.pth,lora,0.03806540369987488,0.027095139026641846,0.16383787989616394,0.06772232055664062,0.7630242109298706,1334.414306640625,18.407310485839844,0.5918367505073547,-1.0113469917598794,2.002617626353948,0.018209073692560196,0.015673276036977768,0.08427731692790985,0.019856330007314682,0.07956056296825409,1.1733312041455626,2,0.1329017777160192,False,gelu,l2,1,8,42,0.3,1,0.0
exp_b_T1_r8_s42_a149_gelu_tanh.pth,lora,0.04114736616611481,0.029709290713071823,0.19802460074424744,0.08420322835445404,0.7630242109298706,1329.158447265625,17.979339599609375,0.5631377696990967,-1.000012690935856,1.998044430853172,0.020260769873857498,0.01766112446784973,0.1026427149772644,0.02088659629225731,0.09538188576698303,0.03911033532800646,2,0.9647087267811858,False,gelu_tanh,l2,1,8,42,0.01,1,0.0
exp_b_T1_r8_s42_a149_gelu_tanh_lr0.03.pth,lora,0.03808390721678734,0.027187064290046692,0.16065335273742676,0.06659774482250214,0.7630242109298706,1335.28564453125,18.40560531616211,0.5797193646430969,-1.0001135107166141,1.9980856644340865,0.01800452545285225,0.015616649761795998,0.08255878835916519,0.02007938176393509,0.07809456437826157,0.11733100598401935,2,0.7657028004643688,False,gelu_tanh,l2,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_gelu_tanh_lr0.1.pth,lora,0.03838121145963669,0.02749495394527912,0.16500267386436462,0.06849899888038635,0.7630242109298706,1334.18798828125,18.346294403076172,0.5867347121238708,-1.0012622813269823,1.9985485760581954,0.01819790154695511,0.01585789956152439,0.08481395244598389,0.02018330991268158,0.08018872141838074,0.39110335328006457,2,0.32674325964868717,False,gelu_tanh,l2,1,8,42,0.1,1,0.0
exp_b_T1_r8_s42_a149_gelu_tanh_lr0.3.pth,lora,0.038071658462285995,0.027103988453745842,0.163929283618927,0.06778068095445633,0.7630242109298706,1334.4583740234375,18.406505584716797,0.5918367505073547,-1.0113421980275763,2.00261049658505,0.018213219940662384,0.015683945268392563,0.08433511853218079,0.01985843852162361,0.07959416508674622,1.1733100598401935,2,0.13290197458559655,False,gelu_tanh,l2,1,8,42,0.3,1,0.0
exp_b_T1_r8_s42_a149_mish.pth,lora,0.036997780203819275,0.025154415518045425,0.19625341892242432,0.07984684407711029,0.7630242109298706,1359.040283203125,18.611621856689453,0.5841836929321289,-1.0000187658427766,1.9980454081901173,0.026036206632852554,0.024584949016571045,0.11059263348579407,0.01096157357096672,0.08566078543663025,0.05406422529475677,2,0.9472199777456629,False,mish,l2,1,8,42,0.01,1,0.0
exp_b_T1_r8_s42_a149_mish_lr0.03.pth,lora,0.03724999725818634,0.025218181312084198,0.1808483898639679,0.07401078194379807,0.7630242109298706,1358.77294921875,18.78196144104004,0.6020408272743225,-1.000170311468569,1.9980946805439486,0.025723030790686607,0.02401951514184475,0.10028666257858276,0.011526966467499733,0.08056172728538513,0.16219267588427033,2,0.6890488843604081,False,mish,l2,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_mish_lr0.1.pth,lora,0.03720115125179291,0.025252554565668106,0.18159320950508118,0.07440327107906342,0.7630242109298706,1358.676025390625,18.782608032226562,0.6096938848495483,-1.0018889660488415,1.9986525281969052,0.025784943252801895,0.024126023054122925,0.10076754540205002,0.011416207998991013,0.08082566410303116,0.5406422529475677,2,0.25890518049315026,False,mish,l2,1,8,42,0.1,1,0.0
exp_b_T1_r8_s42_a149_mish_lr0.3.pth,lora,0.03668530285358429,0.02488415129482746,0.18040671944618225,0.07383224368095398,0.7630242109298706,1359.109130859375,18.865877151489258,0.610331654548645,-1.0169207889967964,2.0035512350804017,0.025637522339820862,0.0239262618124485,0.10014407336711884,0.011047780513763428,0.08026264607906342,1.621926758842703,2,0.10429042639732644,False,mish,l2,1,8,42,0.3,1,0.0
exp_b_T1_r8_s42_a149_npc16.pth,lora,0.15025770664215088,0.1518915295600891,0.40676018595695496,0.3337794542312622,0.40075942873954773,1529.025390625,9.31898307800293,0.3191964328289032,-1.0000001354962516,1.732966317086301,0.13932007551193237,0.14371249079704285,0.40418288111686707,0.010937631130218506,0.0025773048400878906,0.008337157467079609,8,0.9926872258268085,True,,l2,1,8,42,0.01,16,0.0
exp_b_T1_r8_s42_a149_npc2.pth,lora,0.18626642227172852,0.19129213690757751,0.37256669998168945,0.30407649278640747,0.6738914847373962,1476.5,10.640509605407715,0.44834184646606445,-1.0000366683976551,1.7461070754111299,0.12236364185810089,0.10248170047998428,0.1497834473848343,0.06390278041362762,0.22278325259685516,0.056523861052380116,4,0.8457788210766674,False,,l2,1,8,42,0.01,2,0.0
