file,dataset,T,rank,activation,lr,margin_norm,ssim,ctrl_ssim,ssim11,ctrl_ssim11,ssim_norm,ctrl_ssim_norm,ssim_norm11,ctrl_ssim_norm11,ncc,ctrl_ncc,l2,ctrl_l2,ssim_mean_baseline,ctrl_ssim_mean_baseline,clipped_fraction,ctrl_clipped_fraction
exp_b_T10_flowers32_r32_free_s42_a10000_lr0.0003.pth,flowers32,10,r32,(default),0.0003,0.1907,0.5906689763069153,0.40821588039398193,0.6248724460601807,0.4286743998527527,0.5715618133544922,0.3808695375919342,0.6239665746688843,0.4305712580680847,4908.7509765625,5407.802734375,6.71870756149292,9.72889518737793,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T10_flowers32_r32_free_s42_a10000_lr0.001.pth,flowers32,10,r32,(default),0.001,0.1971,0.6079989671707153,0.41976800560951233,0.6392930150032043,0.43833988904953003,0.5885410308837891,0.3914184272289276,0.6382846832275391,0.4393724203109741,4341.267578125,5002.5966796875,6.561784744262695,9.618289947509766,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T10_flowers32_r32_free_s42_a10000_lr0.003.pth,flowers32,10,r32,(default),0.003,0.1885,0.5952658653259277,0.4155874252319336,0.6269023418426514,0.4344428479671478,0.5763541460037231,0.3878987431526184,0.6259363889694214,0.43600165843963623,4798.947265625,5194.21240234375,6.681780815124512,9.655900001525879,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T10_flowers32_r8_free_s42_a10000_lr0.0003.pth,flowers32,10,r8,(default),0.0003,0.2193,0.6406410932540894,0.43231201171875,0.6724439859390259,0.45282524824142456,0.6235726475715637,0.4042864441871643,0.6728639602661133,0.4540466070175171,3148.12060546875,4370.931640625,6.234285354614258,9.433155059814453,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T10_flowers32_r8_free_s42_a10000_lr0.001.pth,flowers32,10,r8,(default),0.001,0.2056,0.6421064138412476,0.44620123505592346,0.669887363910675,0.46235913038253784,0.6254091262817383,0.41982632875442505,0.6707179546356201,0.4654320180416107,3132.358154296875,3860.989013671875,6.223252296447754,9.306110382080078,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T10_flowers32_r8_free_s42_a10000_lr0.003.pth,flowers32,10,r8,(default),0.003,0.24,0.5948182940483093,0.3639068305492401,0.6152461767196655,0.3730812668800354,0.5747231245040894,0.33472010493278503,0.6119272112846375,0.3724258244037628,5739.01806640625,7187.73779296875,6.827929496765137,10.198904037475586,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T20_flowers32_r32_free_s42_a10000_lr0.00015.pth,flowers32,20,r32,(default),0.00015,0.1905,0.5902805924415588,0.40802183747291565,0.6244564652442932,0.428455114364624,0.5711705684661865,0.3806664049625397,0.6235493421554565,0.43034690618515015,4926.951171875,5419.2490234375,6.723444938659668,9.731704711914062,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T20_flowers32_r32_free_s42_a10000_lr0.0005.pth,flowers32,20,r32,(default),0.0005,0.1999,0.6125332713127136,0.42213883996009827,0.6440150737762451,0.44109517335891724,0.5930273532867432,0.3930920660495758,0.6426745653152466,0.44186484813690186,4150.890625,4832.41796875,6.508930683135986,9.570379257202148,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T20_flowers32_r8_free_s42_a10000_lr0.00015.pth,flowers32,20,r8,(default),0.00015,0.2183,0.6387324333190918,0.4310815930366516,0.670457124710083,0.45154768228530884,0.6215351819992065,0.4032663106918335,0.6708923578262329,0.4529317617416382,3198.04443359375,4403.00390625,6.24999475479126,9.444347381591797,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T20_flowers32_r8_free_s42_a10000_lr0.0005.pth,flowers32,20,r8,(default),0.0005,0.2172,0.6454790830612183,0.4390319883823395,0.6721785068511963,0.4537660479545593,0.6287789344787598,0.4115978181362152,0.672949492931366,0.4561522901058197,3051.8232421875,4110.9599609375,6.201743125915527,9.372159957885742,0.6463714241981506,0.452078640460968,0.0,0.0
