file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,n_steps,rank,seed,lr,n_per_class,anchor_alpha
exp_b_T10_full_s42_a149.pth,full,0.7379597425460815,0.6771738529205322,0.8046396970748901,0.7137468457221985,0.7630242109298706,497.01947021484375,4.42356014251709,0.3131377696990967,-0.025345009683010344,0.9784846307033135,0.5846383571624756,0.4406176805496216,0.49955546855926514,10,,42,0.01,1,
exp_b_T1_full_free_s42_a149.pth,full,0.719342052936554,0.6609070301055908,0.749497652053833,0.6745721697807312,0.7630242109298706,1464.0517578125,4.956414699554443,0.5497449040412903,-0.3265017441867267,1.2384713447788456,0.5964958667755127,0.4707906246185303,0.17958024144172668,1,,42,0.01,1,
exp_b_T1_full_s42_a149.pth,full,0.9605361223220825,0.984760046005249,0.97319096326828,0.9915546774864197,0.7630242109298706,1.27093505859375,0.23864877223968506,0.45344388484954834,-0.04074915636508375,1.042300004814538,0.6719846725463867,0.5376015901565552,0.18098817765712738,1,,42,0.01,1,
exp_b_T1_r16_free_s123_a10000.pth,lora,0.5232394337654114,0.5020021200180054,0.6726800203323364,0.61138916015625,0.7474428415298462,1560.35888671875,5.253421306610107,0.3711734712123871,-0.12006562331417725,1.0686433796295478,0.37888485193252563,0.31086236238479614,0.35181987285614014,1,16,123,0.01,1,
exp_b_T1_r16_free_s2026_a10000.pth,lora,0.53908371925354,0.509575366973877,0.7534224987030029,0.667066216468811,0.738010048866272,1023.7440795898438,5.343018054962158,0.38966837525367737,-0.06029577060410122,1.0215892601114527,0.3911990225315094,0.29932624101638794,0.587681233882904,1,16,2026,0.01,1,
exp_b_T1_r16_free_s42_a10000.pth,full,0.9975078105926514,0.9992915391921997,0.9986075162887573,0.9997438192367554,0.7630242109298706,0.03704833984375,0.0325295552611351,0.4241071343421936,-0.004079206030320193,1.004422029997722,0.6918098330497742,0.5392019748687744,0.17604252696037292,1,16,42,0.01,1,
exp_b_T1_r16_free_s42_a10000.pth,lora,0.5830597877502441,0.64186030626297,0.7949353456497192,0.817206859588623,0.7630242109298706,188.359375,2.503633975982666,0.375,-0.0949144290580193,1.043888479438549,0.39342764019966125,0.3363255262374878,0.2641366124153137,1,16,42,0.01,1,
exp_b_T1_r16_free_s42_a149.pth,full,0.9943171143531799,0.9982234239578247,0.9967334270477295,0.9993125200271606,0.7630242109298706,0.02862548828125,0.04900423809885979,0.42091837525367737,-0.0028854011323404165,0.9993552654202122,0.6902018785476685,0.538669228553772,0.17497020959854126,1,16,42,0.01,1,
exp_b_T1_r16_free_s42_a149.pth,lora,0.6237121820449829,0.6698339581489563,0.8011353015899658,0.8130180835723877,0.7630242109298706,604.9759521484375,2.7291476726531982,0.3832908272743225,-0.08360519538282916,1.01356536262389,0.4253957271575928,0.3416719436645508,0.2660362720489502,1,16,42,0.01,1,
exp_b_T1_r16_free_s7_a10000.pth,lora,0.5210357904434204,0.5223734378814697,0.6397460103034973,0.5889535546302795,0.6904239654541016,1584.2852783203125,5.878273010253906,0.3169642984867096,-0.10837448682470216,1.0374552601191074,0.31256160140037537,0.18660184741020203,0.4664277136325836,1,16,7,0.01,1,
exp_b_T1_r16_free_s999_a10000.pth,lora,0.48835915327072144,0.4804813265800476,0.6872449517250061,0.6158441305160522,0.7062060236930847,1418.5980224609375,5.9326066970825195,0.3341836631298065,-0.1744002766739751,1.0748779950084486,0.37433379888534546,0.3289533853530884,0.5483388304710388,1,16,999,0.01,1,
exp_b_T1_r16_s42_a10000.pth,lora,0.7689934968948364,0.725990891456604,0.8289073705673218,0.7687852382659912,0.7630242109298706,107.11883544921875,3.7236831188201904,0.4770408272743225,-0.0504829360612957,0.9990375355999174,0.5939527750015259,0.4529981017112732,0.43332958221435547,1,16,42,0.01,1,
exp_b_T1_r16_s42_a149.pth,lora,0.43434399366378784,0.46129775047302246,0.6563270092010498,0.6439110040664673,0.7630242109298706,957.859375,4.853546619415283,0.4272959232330322,-0.6489957943321196,1.2127538231102626,0.3195515275001526,0.2791633605957031,0.30950501561164856,1,16,42,0.01,1,
exp_b_T1_r32_free_s123_a10000.pth,lora,0.5059183239936829,0.4896067976951599,0.6688503623008728,0.607969343662262,0.7474428415298462,1577.494873046875,5.257254600524902,0.3743622303009033,-0.12279605951360438,1.0697741541956804,0.3620917499065399,0.30050724744796753,0.3507300913333893,1,32,123,0.01,1,
exp_b_T1_r32_free_s2026_a10000.pth,lora,0.5225095152854919,0.5003615617752075,0.7463135719299316,0.6631168127059937,0.738010048866272,822.5958862304688,5.293689727783203,0.39094388484954834,-0.08313407532661544,1.0266947960232817,0.369456946849823,0.2782773971557617,0.5800853371620178,1,32,2026,0.01,1,
exp_b_T1_r32_free_s42_a10000.pth,full,0.9975078105926514,0.9992915391921997,0.9986075162887573,0.9997438192367554,0.7630242109298706,0.03704833984375,0.0325295552611351,0.4241071343421936,-0.004079206030320193,1.004422029997722,0.6918098330497742,0.5392019748687744,0.17604252696037292,1,32,42,0.01,1,
exp_b_T1_r32_free_s42_a10000.pth,lora,0.608006477355957,0.652553141117096,0.797022819519043,0.809956431388855,0.7630242109298706,223.032470703125,2.716068744659424,0.3966836631298065,-0.19495137085249117,1.111291610946604,0.43309658765792847,0.37924084067344666,0.3328348994255066,1,32,42,0.01,1,
exp_b_T1_r32_free_s42_a149.pth,full,0.9943171143531799,0.9982234239578247,0.9967334270477295,0.9993125200271606,0.7630242109298706,0.02862548828125,0.04900423809885979,0.42091837525367737,-0.0028854011323404165,0.9993552654202122,0.6902018785476685,0.538669228553772,0.17497020959854126,1,32,42,0.01,1,
exp_b_T1_r32_free_s42_a149.pth,lora,0.6796475648880005,0.6724250316619873,0.8357090950012207,0.787411093711853,0.7630242109298706,65.05792236328125,3.4373090267181396,0.38201531767845154,-0.03476777890671731,0.9943508253011215,0.500701367855072,0.39833760261535645,0.39244335889816284,1,32,42,0.01,1,
exp_b_T1_r32_free_s7_a10000.pth,lora,0.5194212198257446,0.522000789642334,0.6404513120651245,0.5893440246582031,0.6904239654541016,1603.239501953125,5.881287097930908,0.31823980808258057,-0.10786031084825426,1.0374326050994802,0.31086909770965576,0.1859380304813385,0.46711403131484985,1,32,7,0.01,1,
exp_b_T1_r32_free_s999_a10000.pth,lora,0.49799656867980957,0.48624181747436523,0.6968891620635986,0.6224643588066101,0.7062060236930847,1395.915283203125,5.916620254516602,0.3252550959587097,-0.16327912893056293,1.066419481574174,0.38300779461860657,0.3335134983062744,0.5576515197753906,1,32,999,0.01,1,
exp_b_T1_r32_s42_a10000.pth,lora,0.6966038942337036,0.697113037109375,0.8255789279937744,0.7911126613616943,0.7630242109298706,158.70526123046875,3.355020523071289,0.4011479616165161,-0.08883674400822522,0.969585323992764,0.5213872790336609,0.4322933554649353,0.39698848128318787,1,32,42,0.01,1,
exp_b_T1_r32_s42_a149.pth,full,0.9605361223220825,0.984760046005249,0.97319096326828,0.9915546774864197,0.7630242109298706,1.27093505859375,0.23864877223968506,0.45344388484954834,-0.04074915636508375,1.042300004814538,0.6719846725463867,0.5376015901565552,0.18098817765712738,1,32,42,0.01,1,
exp_b_T1_r32_s42_a149.pth,lora,0.14748317003250122,0.1316065788269043,0.27886027097702026,0.1962304562330246,0.7630242109298706,1430.7774658203125,12.207117080688477,0.5695152878761292,-1.000124970189945,1.5883882562380855,0.10894782096147537,0.09978827089071274,0.13409627974033356,1,32,42,0.01,1,
exp_b_T1_r4_free_s42_a10000.pth,lora,0.5087670087814331,0.5242101550102234,0.7533888816833496,0.7141354084014893,0.7630242109298706,355.9246520996094,3.818192720413208,0.3979591727256775,-0.10493565725340524,0.9998637239140782,0.3559178113937378,0.2929595708847046,0.31698673963546753,1,4,42,0.01,1,
exp_b_T1_r4_s42_a10000.pth,lora,0.6147830486297607,0.6579791307449341,0.8002498149871826,0.8104807734489441,0.7630242109298706,161.63238525390625,2.7799324989318848,0.3577806055545807,-0.13926649155643148,0.9332766311875902,0.4496602416038513,0.38962066173553467,0.3759814500808716,1,4,42,0.01,1,
exp_b_T1_r64_free_s42_a10000.pth,lora,0.6354348659515381,0.6165862679481506,0.7268895506858826,0.6747686862945557,0.7630242109298706,1388.21240234375,4.182555675506592,0.4878826439380646,-0.22782971984779482,1.1468239195123597,0.5080915093421936,0.4145359694957733,0.22947275638580322,1,64,42,0.01,1,
exp_b_T1_r64_free_s42_a149.pth,full,0.719342052936554,0.6609070301055908,0.749497652053833,0.6745721697807312,0.7630242109298706,1464.0517578125,4.956414699554443,0.5497449040412903,-0.3265017441867267,1.2384713447788456,0.5964958667755127,0.4707906246185303,0.17958024144172668,1,64,42,0.01,1,
exp_b_T1_r64_free_s42_a149.pth,lora,0.26320773363113403,0.28780484199523926,0.37879830598831177,0.3773536682128906,0.7630242109298706,614.161865234375,7.911837100982666,0.5338010191917419,-1.0000379906175736,1.5803998689511958,0.13797959685325623,0.13202518224716187,0.16134902834892273,1,64,42,0.01,1,
exp_b_T1_r64_s42_a10000.pth,lora,0.7140974998474121,0.6967947483062744,0.8281852006912231,0.7738341093063354,0.7630242109298706,123.43878173828125,3.5964903831481934,0.36862245202064514,-0.0813262592489788,0.9921514467641566,0.5494489669799805,0.44169580936431885,0.45875176787376404,1,64,42,0.01,1,
exp_b_T1_r64_s42_a149.pth,full,0.9605361223220825,0.984760046005249,0.97319096326828,0.9915546774864197,0.7630242109298706,1.27093505859375,0.23864877223968506,0.45344388484954834,-0.04074915636508375,1.042300004814538,0.6719846725463867,0.5376015901565552,0.18098817765712738,1,64,42,0.01,1,
exp_b_T1_r64_s42_a149.pth,lora,0.6919534206390381,0.710541844367981,0.7827771902084351,0.7730156183242798,0.7630242109298706,419.210205078125,3.4249181747436523,0.4381377696990967,-0.15551535656607923,1.0478721324599503,0.5341485738754272,0.43732401728630066,0.4105216860771179,1,64,42,0.01,1,
exp_b_T1_r8_free_s0_a10000.pth,full,0.5925594568252563,0.5750390291213989,0.6860169172286987,0.6555638909339905,0.8091709613800049,1621.4725341796875,4.579181671142578,0.43176019191741943,-0.10678537620319949,1.0707242460876623,0.46830472350120544,0.368159681558609,0.3911462426185608,1,8,0,0.01,1,
exp_b_T1_r8_free_s0_a10000.pth,lora,0.57740718126297,0.5698608756065369,0.6835089921951294,0.6604587435722351,0.8091709613800049,1635.731689453125,4.590537071228027,0.4068877696990967,-0.09148208500339677,1.0330316003378657,0.45507001876831055,0.3696304261684418,0.3923080861568451,1,8,0,0.01,1,
exp_b_T1_r8_free_s0_a149.pth,full,0.5925594568252563,0.5750390291213989,0.6860169172286987,0.6555638909339905,0.8091709613800049,1621.4725341796875,4.579181671142578,0.43176019191741943,-0.10678537620319949,1.0707242460876623,0.46830472350120544,0.368159681558609,0.3911462426185608,1,8,0,0.01,1,
exp_b_T1_r8_free_s0_a149.pth,lora,0.57740718126297,0.5698608756065369,0.6835089921951294,0.6604587435722351,0.8091709613800049,1635.731689453125,4.590537071228027,0.4068877696990967,-0.09148208500339677,1.0330316003378657,0.45507001876831055,0.3696304261684418,0.3923080861568451,1,8,0,0.01,1,
exp_b_T1_r8_free_s1_a10000.pth,full,0.562207043170929,0.5975288152694702,0.6726599931716919,0.6786340475082397,0.7600963115692139,1572.014404296875,5.342349529266357,0.3348214328289032,-0.12006909910571131,1.055656475201274,0.3960224688053131,0.3367616832256317,0.578427791595459,1,8,1,0.01,1,
exp_b_T1_r8_free_s1_a10000.pth,lora,0.5528445839881897,0.596097469329834,0.6718060970306396,0.6878345012664795,0.7600963115692139,1578.3511962890625,5.364055156707764,0.3392857015132904,-0.08913801639641274,1.0410692684450076,0.3895680904388428,0.34120893478393555,0.5849665403366089,1,8,1,0.01,1,
exp_b_T1_r8_free_s1_a149.pth,full,0.562207043170929,0.5975288152694702,0.6726599931716919,0.6786340475082397,0.7600963115692139,1572.014404296875,5.342349529266357,0.3348214328289032,-0.12006909910571131,1.055656475201274,0.3960224688053131,0.3367616832256317,0.578427791595459,1,8,1,0.01,1,
exp_b_T1_r8_free_s1_a149.pth,lora,0.5528445839881897,0.596097469329834,0.6718060970306396,0.6878345012664795,0.7600963115692139,1578.3511962890625,5.364055156707764,0.3392857015132904,-0.08913801639641274,1.0410692684450076,0.3895680904388428,0.34120893478393555,0.5849665403366089,1,8,1,0.01,1,
exp_b_T1_r8_free_s2_a10000.pth,full,0.5364989042282104,0.5539320707321167,0.6598250865936279,0.6451583504676819,0.7587735652923584,1494.126220703125,5.080739498138428,0.34948980808258057,-0.10552544042359907,1.0540534932729495,0.3534124493598938,0.26084303855895996,0.5517831444740295,1,8,2,0.01,1,
exp_b_T1_r8_free_s2_a10000.pth,lora,0.5724406838417053,0.5844767093658447,0.683815598487854,0.6669818162918091,0.7587735652923584,1473.3775634765625,5.076650142669678,0.3628826439380646,-0.13596180176162312,1.109200071284429,0.38857656717300415,0.28848397731781006,0.5595799684524536,1,8,2,0.01,1,
exp_b_T1_r8_free_s2_a149.pth,full,0.5364989042282104,0.5539320707321167,0.6598250865936279,0.6451583504676819,0.7587735652923584,1494.126220703125,5.080739498138428,0.34948980808258057,-0.10552544042359907,1.0540534932729495,0.3534124493598938,0.26084303855895996,0.5517831444740295,1,8,2,0.01,1,
exp_b_T1_r8_free_s2_a149.pth,lora,0.5724406838417053,0.5844767093658447,0.683815598487854,0.6669818162918091,0.7587735652923584,1473.3775634765625,5.076650142669678,0.3628826439380646,-0.13596180176162312,1.109200071284429,0.38857656717300415,0.28848397731781006,0.5595799684524536,1,8,2,0.01,1,
exp_b_T1_r8_free_s3_a10000.pth,full,0.4860730767250061,0.45155084133148193,0.6418423652648926,0.5690852403640747,0.69260573387146,1563.9998779296875,6.123866081237793,0.3348214328289032,-0.09063481824363631,1.0261530125766833,0.3053625822067261,0.1873282790184021,0.5045727491378784,1,8,3,0.01,1,
exp_b_T1_r8_free_s3_a10000.pth,lora,0.5167555212974548,0.46738505363464355,0.62474125623703,0.560325026512146,0.69260573387146,1566.8841552734375,6.132874488830566,0.33801019191741943,-0.09816072351817845,1.037811875217304,0.33488112688064575,0.2018352448940277,0.4955943822860718,1,8,3,0.01,1,
exp_b_T1_r8_free_s3_a149.pth,full,0.4860730767250061,0.45155084133148193,0.6418423652648926,0.5690852403640747,0.69260573387146,1563.9998779296875,6.123866081237793,0.3348214328289032,-0.09063481824363631,1.0261530125766833,0.3053625822067261,0.1873282790184021,0.5045727491378784,1,8,3,0.01,1,
