activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lora_linearization_error,lora_ssim,lr_schedule,n_steps,phase,rank,seed,weight_change
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,,,linear,1,7,,42,0.02492856502813777
leaky_relu,0.6367954015731812,0.01,,,,1.0005297527962989,0.8302084803581238,linear,1,7,8,42,
leaky_relu,0.6367718577384949,0.0075,0.7518237613905185,0.49994280405713487,0.8621840476989746,,,linear,2,7,,42,0.02492951568872592
leaky_relu,0.6308960914611816,0.0075,,,,1.0089344931188338,0.8173788189888,linear,2,7,8,42,
leaky_relu,0.6270115375518799,0.006,0.7518208905806962,1.9995433413565862,0.8228611946105957,,,linear,5,7,,42,0.024932360549366043
leaky_relu,0.6250033378601074,0.006,,,,1.0693591184861417,0.8026161789894104,linear,5,7,8,42,
leaky_relu,0.6215702295303345,0.0055000000000000005,0.7518161310368134,4.498122844353504,0.8023234605789185,,,linear,10,7,,42,0.024937076812032406
leaky_relu,0.6242870092391968,0.0055000000000000005,,,,1.2607701139389291,0.7874419689178467,linear,10,7,8,42,
leaky_relu,0.6172213554382324,0.005250000000000002,0.7509771278224624,9.492492752998498,0.7869322896003723,,,linear,20,7,,42,0.02494640262983917
leaky_relu,0.6218395233154297,0.005250000000000002,,,,1.8195423200578376,0.7804697751998901,linear,20,7,8,42,
leaky_relu,0.6142524480819702,0.005099999999999999,0.750490975513458,24.454038712747725,0.7747350335121155,,,linear,50,7,,42,0.024973581249422484
leaky_relu,0.6162703037261963,0.005099999999999999,,,,3.8195736068763946,0.7742897868156433,linear,50,7,8,42,
leaky_relu,0.6131898760795593,0.0050500000000000015,0.7489119632918924,49.32239288026078,0.7703772783279419,,,linear,100,7,,42,0.025016554625694843
leaky_relu,0.6154009103775024,0.0050500000000000015,,,,7.231363889699931,0.7722285985946655,linear,100,7,8,42,
leaky_relu,nan,0.00501,0.7449452357276283,245.96013678987322,nan,,,linear,500,7,,42,0.025285907431782984
leaky_relu,nan,0.00501,,,,33.310492023171854,nan,linear,500,7,8,42,
leaky_relu,nan,0.005005,0.7419598386748338,487.91050937886257,nan,,,linear,1000,7,,42,0.02551952044515381
leaky_relu,nan,0.005005,,,,64.57578787795143,nan,linear,1000,7,8,42,
