activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lora_linearization_error,lora_ssim,lr_schedule,n_steps,phase,rank,seed,warm_start,weight_change
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,,,constant,1,4,,42,False,0.02492856502813777
leaky_relu,0.6316196918487549,0.01,0.7518228019889677,0.9998474766855738,0.8422409296035767,,,constant,2,4,,42,True,0.024930466431786313
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,,,constant,5,4,,42,True,0.024936140054362562
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,,,constant,10,4,,42,True,0.024945487748499216
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,,,constant,20,4,,42,True,0.02496375694299293
leaky_relu,0.6131035089492798,0.01,0.7489127631422919,48.825718262866936,0.7697992324829102,,,constant,50,4,,42,True,0.025015767862091566
leaky_relu,0.6125355958938599,0.01,0.7483909285570833,98.3409669945006,0.7674573659896851,,,constant,100,4,,42,True,0.025093954834865005
leaky_relu,nan,0.01,0.7419601511908762,487.427833761319,nan,,,constant,500,4,,42,True,0.025519220202738353
leaky_relu,nan,0.01,0.7342975935554935,963.8310008079832,nan,,,constant,1000,4,,42,True,0.025837270037833864
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,1.0188304577157627,0.8149951696395874,constant,1,4,8,42,False,0.02492856502813777
leaky_relu,0.6316116452217102,0.01,0.7518228019889677,0.9998474766855738,0.8421989679336548,1.0346889063643927,0.8026032447814941,constant,2,4,8,42,True,0.024930466431786313
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,1.2099478063421438,0.7883493900299072,constant,5,4,8,42,True,0.024936140054362562
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,1.7239446427214666,0.7836414575576782,constant,10,4,8,42,True,0.024945487748499216
leaky_relu,0.6148333549499512,0.01,0.7505009088743448,18.97180796649267,0.7771434783935547,2.980542787479534,0.7754727602005005,constant,20,4,8,42,True,0.02496375694299293
leaky_relu,0.6131035089492798,0.01,0.7489127631422919,48.825718262866936,0.7697992324829102,6.950404369396263,0.7779871225357056,constant,50,4,8,42,True,0.025015767862091566
leaky_relu,0.6129568219184875,0.01,0.7483909285570833,98.3409669945006,0.7694448828697205,13.49693474790692,0.8088818788528442,constant,100,4,8,42,True,0.025093954834865005
leaky_relu,nan,0.01,0.7419601511908762,487.427833761319,nan,63.45803784023916,nan,constant,500,4,8,42,True,0.025519220202738353
leaky_relu,nan,0.01,0.7342975935554935,963.8310008079832,nan,123.6715526745542,nan,constant,1000,4,8,42,True,0.025837270037833864
