file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,n_steps,rank,seed,finetune_activation,lr,n_per_class,loss_type,anchor_alpha,dataset,source,finetune_optimizer,verify_weight
exp_b_T1_r8_free_s42_a149_celu_lr0.0005.pth,lora,0.3433375358581543,0.3071419596672058,0.5759927034378052,0.503092348575592,0.7630242109298706,964.5780639648438,7.412611961364746,0.3973214328289032,-0.815163303347695,1.63603327561884,0.24132436513900757,0.1935330480337143,0.4207134246826172,0.10201317071914673,0.155279278755188,0.006256712678649802,2,0.9993518903508781,True,1,8,42,celu,0.0005,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_celu_lr0.0024.pth,lora,0.08004175871610641,0.05369481071829796,0.3958020806312561,0.21263475716114044,0.7630242109298706,1205.3486328125,15.568982124328613,0.49298468232154846,-1.0000163465266847,1.9980402109227622,0.07183670252561569,0.06454060971736908,0.3254721164703369,0.008205056190490723,0.07032996416091919,0.03003222085751905,2,0.9852977053221963,False,1,8,42,celu,0.0024,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_celu_lr0.008.pth,lora,0.03931839391589165,0.024994373321533203,0.2054118514060974,0.09880100190639496,0.7630242109298706,1493.6295166015625,16.613624572753906,0.581632673740387,-1.000029026364089,1.998064099272866,0.050098832696676254,0.06477881968021393,0.13759544491767883,-0.010780438780784607,0.06781640648841858,0.10010740285839684,2,0.8647236828886772,False,1,8,42,celu,0.008,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_celu_lr0.024.pth,lora,0.0668589323759079,0.035026248544454575,0.3037734925746918,0.1667504459619522,0.7630242109298706,1491.57861328125,16.211462020874023,0.5701530575752258,-1.0003000669605222,1.9982493104683035,0.06994456052780151,0.07363344728946686,0.1978665292263031,-0.0030856281518936157,0.10590696334838867,0.30032220857519054,2,0.4844329733637911,False,1,8,42,celu,0.024,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_elu_lr0.0005.pth,lora,0.3433375358581543,0.3071419596672058,0.5759927034378052,0.503092348575592,0.7630242109298706,964.5780639648438,7.412611961364746,0.3973214328289032,-0.815163303347695,1.63603327561884,0.24132436513900757,0.1935330480337143,0.4207134246826172,0.10201317071914673,0.155279278755188,0.006256712678649802,2,0.9993518903508781,True,1,8,42,elu,0.0005,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_elu_lr0.0024.pth,lora,0.08004175871610641,0.05369481071829796,0.3958020806312561,0.21263475716114044,0.7630242109298706,1205.3486328125,15.568982124328613,0.49298468232154846,-1.0000163465266847,1.9980402109227622,0.07183670252561569,0.06454060971736908,0.3254721164703369,0.008205056190490723,0.07032996416091919,0.03003222085751905,2,0.9852977053221963,False,1,8,42,elu,0.0024,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_elu_lr0.008.pth,lora,0.03931839391589165,0.024994373321533203,0.2054118514060974,0.09880100190639496,0.7630242109298706,1493.6295166015625,16.613624572753906,0.581632673740387,-1.000029026364089,1.998064099272866,0.050098832696676254,0.06477881968021393,0.13759544491767883,-0.010780438780784607,0.06781640648841858,0.10010740285839684,2,0.8647236828886772,False,1,8,42,elu,0.008,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_elu_lr0.024.pth,lora,0.0668589323759079,0.035026248544454575,0.3037734925746918,0.1667504459619522,0.7630242109298706,1491.57861328125,16.211462020874023,0.5701530575752258,-1.0003000669605222,1.9982493104683035,0.06994456052780151,0.07363344728946686,0.1978665292263031,-0.0030856281518936157,0.10590696334838867,0.30032220857519054,2,0.4844329733637911,False,1,8,42,elu,0.024,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_gelu_lr0.0013.pth,lora,0.40190500020980835,0.362007737159729,0.6184980869293213,0.5414067506790161,0.7630242109298706,825.71533203125,8.097991943359375,0.4496173560619354,-0.9999608038334459,1.6646828493973356,0.29481393098831177,0.24300523102283478,0.4506450891494751,0.10709106922149658,0.1678529977798462,0.005084435217964105,2,0.9993808217550832,True,1,8,42,gelu,0.0013,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_free_s42_a149_gelu_lr0.0077.pth,lora,0.042013101279735565,0.03101702779531479,0.16869305074214935,0.07201359421014786,0.7630242109298706,1310.5966796875,18.313493728637695,0.5637755393981934,-1.0000071349107686,1.99804233792668,0.019073588773608208,0.016899434849619865,0.08645811676979065,0.022939512506127357,0.0822349339723587,0.030115500906402783,2,0.9787134599785504,False,1,8,42,gelu,0.0077,1,l2,0.0,mnist,all,sgd,1.0
