activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lora_linearization_error,lora_ssim,lr_schedule,n_steps,phase,rank,seed,weight_change
leaky_relu,0.6215702295303345,0.0055000000000000005,0.751816129952084,4.49812260733617,0.8023234605789185,,,cosine,10,6,,42,0.024937077887224973
leaky_relu,0.6215702295303345,0.0055000000000000005,0.751816129952084,4.49812260733617,0.8023234605789185,1.2579583000380368,0.7878739237785339,cosine,10,6,8,42,0.024937077887224973
leaky_relu,0.6151410341262817,0.0055000000000000005,,,,1.856104534447586,0.789345383644104,cosine,10,6,32,42,
leaky_relu,0.6142524480819702,0.005099999999999998,0.7504909678840055,24.454030817200437,0.7747350335121155,,,cosine,50,6,,42,0.024973588997201448
leaky_relu,0.6142524480819702,0.005099999999999998,0.7504909678840055,24.454030817200437,0.7747350335121155,3.7051997919549815,0.774539589881897,cosine,50,6,8,42,0.024973588997201448
leaky_relu,0.6119747757911682,0.005099999999999998,,,,7.460656800967551,0.770870566368103,cosine,50,6,32,42,
leaky_relu,0.6131899356842041,0.0050500000000000015,0.7489119551513631,49.322375677421064,0.7703772783279419,,,cosine,100,6,,42,0.02501656317906483
leaky_relu,0.6131899356842041,0.0050500000000000015,0.7489119551513631,49.322375677421064,0.7703772783279419,7.017976454819257,0.7769918441772461,cosine,100,6,8,42,0.02501656317906483
leaky_relu,0.6142188906669617,0.0050500000000000015,,,,14.36427494140682,0.7687228918075562,cosine,100,6,32,42,
leaky_relu,nan,0.005010000000000005,0.7449452088469659,245.95989217012936,nan,,,cosine,500,6,,42,0.025285932481401003
leaky_relu,nan,0.005010000000000005,0.7449452088469659,245.95989217012936,nan,32.63837164690736,nan,cosine,500,6,8,42,0.025285932481401003
leaky_relu,nan,0.005010000000000005,,,,66.44502063978541,nan,cosine,500,6,32,42,
