coefficient_drift,control_dssim,control_ssim,feature_stability,full_dssim,full_ssim,lora_dssim,lora_ssim,n_steps,rank,seed,weight_change
0.4996270376281844,0.15371263027191162,0.6925747394561768,0.7494568388995299,0.0002446472644805908,0.9995107054710388,,,1,full,42,0.024983868644015726
0.4996270376281844,0.15371263027191162,0.6925747394561768,0.7494568388995299,0.0002446472644805908,0.9995107054710388,0.27330365777015686,0.4533926844596863,1,1,42,0.024983868644015726
,0.25439733266830444,0.4912053048610687,,,,0.16708259284496307,0.6658347845077515,1,4,42,
,0.20604556798934937,0.5879088640213013,,,,0.11148236691951752,0.7770352363586426,1,8,42,
,0.1898801475763321,0.6202397346496582,,,,0.09320695698261261,0.8135861158370972,1,32,42,
,0.19920924305915833,0.6015815138816833,,,,0.10954700410366058,0.7809059619903564,1,64,42,
0.49962726567052984,0.18475985527038574,0.6304802894592285,0.7494549589291981,0.08045044541358948,0.839099109172821,,,2,full,42,0.024985766440438976
0.49962726567052984,0.18475985527038574,0.6304802894592285,0.7494549589291981,0.08045044541358948,0.839099109172821,0.2605069577693939,0.47898608446121216,2,1,42,0.024985766440438976
,0.30024635791778564,0.3995072841644287,,,,0.22471246123313904,0.5505750775337219,2,4,42,
,0.30916911363601685,0.38166171312332153,,,,0.2279682606458664,0.5440634489059448,2,8,42,
,0.31696391105651855,0.3660721182823181,,,,0.2378212809562683,0.5243574380874634,2,32,42,
,0.19314159452915192,0.6137168407440186,,,,0.10485957562923431,0.790280818939209,2,64,42,
0.4996279418539139,0.31995081901550293,0.36009830236434937,0.7494493495502277,0.24801233410835266,0.5039753317832947,,,5,full,42,0.024991428705520572
0.4996279418539139,0.31995081901550293,0.36009830236434937,0.7494493495502277,0.24801233410835266,0.5039753317832947,0.2678922414779663,0.4642155170440674,5,1,42,0.024991428705520572
,0.32277220487594604,0.3544555604457855,,,,0.25590652227401733,0.48818689584732056,5,4,42,
,0.18992049992084503,0.6201590299606323,,,,0.10932430624961853,0.7813513875007629,5,8,42,
,0.28914082050323486,0.42171841859817505,,,,0.21647118031978607,0.5670576095581055,5,32,42,
,0.2126391977071762,0.5747215747833252,,,,0.1322125643491745,0.7355748414993286,5,64,42,
0.49962904215977666,0.3235269784927368,0.35294604301452637,0.7490310356269712,0.2572423815727234,0.48551520705223083,,,10,full,42,0.02500075969382002
0.49962904215977666,0.3235269784927368,0.35294604301452637,0.7490310356269712,0.2572423815727234,0.48551520705223083,0.13228388130664825,0.7354322671890259,10,1,42,0.02500075969382002
,0.32610267400741577,0.34779465198516846,,,,0.2625887989997864,0.47482243180274963,10,4,42,
,0.3264206647872925,0.34715867042541504,,,,0.26179391145706177,0.47641217708587646,10,8,42,
,0.32562750577926636,0.3487449884414673,,,,0.26132601499557495,0.4773479700088501,10,32,42,
,0.32562705874443054,0.3487458825111389,,,,0.26139307022094727,0.4772137999534607,10,64,42,
0.4996311399702772,0.3263191282749176,0.3473617434501648,0.7485836707391835,0.26311588287353516,0.4737682640552521,,,20,full,42,0.025019001696114426
0.4996311399702772,0.3263191282749176,0.3473617434501648,0.7485836707391835,0.26311588287353516,0.4737682640552521,0.2771047353744507,0.445790559053421,20,1,42,0.025019001696114426
,0.3270483613014221,0.34590327739715576,,,,0.26514124870300293,0.46971750259399414,20,4,42,
,0.3266562819480896,0.346687376499176,,,,0.2640751600265503,0.4718497097492218,20,8,42,
,0.3267906904220581,0.3464186191558838,,,,0.26434844732284546,0.4713031053543091,20,32,42,
,0.2016603946685791,0.5966792106628418,,,,0.12440331280231476,0.7511934041976929,20,64,42,
0.4996367327154266,0.2809366285800934,0.43812674283981323,0.7481810798681923,0.2137228548526764,0.5725542902946472,,,50,full,42,0.0250707422013443
0.4996367327154266,0.2809366285800934,0.43812674283981323,0.7481810798681923,0.2137228548526764,0.5725542902946472,0.2788866460323334,0.44222670793533325,50,1,42,0.0250707422013443
,0.32082775235176086,0.35834449529647827,,,,0.25886303186416626,0.48227396607398987,50,4,42,
,0.3272886872291565,0.345422625541687,,,,0.26602721214294434,0.46794554591178894,50,8,42,
,0.32731926441192627,0.34536147117614746,,,,0.2661071717739105,0.46778565645217896,50,32,42,
,0.3273344933986664,0.34533101320266724,,,,0.2661428451538086,0.4677143096923828,50,64,42,
0.4996442820065191,0.20438924431800842,0.5912215113639832,0.7460626836986453,0.12930220365524292,0.7413955926895142,,,100,full,42,0.025148715937540762
0.4996442820065191,0.20438924431800842,0.5912215113639832,0.7460626836986453,0.12930220365524292,0.7413955926895142,0.2789444625377655,0.442111074924469,100,1,42,0.025148715937540762
,0.31623196601867676,0.3675360679626465,,,,0.25395330786705017,0.49209338426589966,100,4,42,
,0.2041022628545761,0.5917954444885254,,,,0.1299680471420288,0.7400639057159424,100,8,42,
,0.3048974871635437,0.3902050256729126,,,,0.24114950001239777,0.5177010297775269,100,32,42,
,0.2818227708339691,0.43635445833206177,,,,0.21531641483306885,0.5693671703338623,100,64,42,
0.4996718226191292,0.3201201260089874,0.35975974798202515,0.739871658089474,0.258586049079895,0.48282790184020996,,,500,full,42,0.025571199863799892
0.4996718226191292,0.3201201260089874,0.35975974798202515,0.739871658089474,0.258586049079895,0.48282790184020996,0.28017354011535645,0.4396529197692871,500,1,42,0.025571199863799892
,0.3267704248428345,0.34645915031433105,,,,0.26610586047172546,0.4677882790565491,500,4,42,
,0.3201298415660858,0.35974031686782837,,,,0.2586110234260559,0.4827779531478882,500,8,42,
,0.3201189637184143,0.3597620725631714,,,,0.25859639048576355,0.4828072190284729,500,32,42,
,0.3212316632270813,0.3575366735458374,,,,0.2598496377468109,0.4803007245063782,500,64,42,
