activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lr_schedule,n_steps,phase,rank,seed,weight_change
relu_default,0.6719303727149963,0.01,0.7494568388995299,1.6021063965502168e-15,0.9606730937957764,constant,1,0,,42,0.024983868644015726
relu_default,0.6091256141662598,0.01,0.7494493495502279,3.998487604274314,0.7859148979187012,constant,5,0,,42,0.024991428705520572
relu_default,0.6058412790298462,0.01,0.7490310356269712,8.99324438410663,0.7732251882553101,constant,10,0,,42,0.02500075969382002
relu_default,0.39489278197288513,0.01,0.7481810798681925,48.826757519739324,0.4944363832473755,constant,50,0,,42,0.0250707422013443
relu_default,nan,0.01,0.7460626836986453,98.34456065900655,nan,constant,100,0,,42,0.025148715937540762
leaky_relu,0.6926798224449158,0.01,0.7518247206960298,1.794161185960872e-15,0.9999916553497314,constant,1,0,,42,0.02492856502813777
leaky_relu,0.6224918365478516,0.01,0.7518170764185248,3.99848124606526,0.8054165244102478,constant,5,0,,42,0.024936140054362562
leaky_relu,0.6174185276031494,0.01,0.750978051974456,8.99321670051021,0.787707507610321,constant,10,0,,42,0.024945487748499216
leaky_relu,0.6132067441940308,0.01,0.7489127631422919,48.825718262866936,0.7704281806945801,constant,50,0,,42,0.025015767862091566
leaky_relu,0.6206285953521729,0.01,0.7483909285570833,98.3409669945006,0.7991906404495239,constant,100,0,,42,0.025093954834865005
modified_relu,0.6926798224449158,0.01,0.7688683414063395,1.851369976933426e-15,0.9999916553497314,constant,1,0,,42,0.023873204793347726
modified_relu,0.6103659272193909,0.01,0.768702866994003,3.9977627535644027,0.7874820828437805,constant,5,0,,42,0.023883892901608476
modified_relu,0.6060742139816284,0.01,0.76849880686947,8.990036256031065,0.7729735970497131,constant,10,0,,42,0.023897017983738562
modified_relu,0.5267225503921509,0.01,0.7669655971237265,48.74889593706285,0.6590990424156189,constant,50,0,,42,0.023993716258740975
modified_relu,0.5625139474868774,0.01,0.7652527605063709,98.06753570128733,0.6128513813018799,constant,100,0,,42,0.02409793160920639
