file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,n_steps,rank,seed,finetune_activation,lr,n_per_class,loss_type,anchor_alpha,dataset,source,finetune_optimizer,verify_weight
exp_b_T10_r8_s42_a149_celu.pth,lora,0.07967929542064667,0.054714225232601166,0.40456801652908325,0.22885601222515106,0.7630242109298706,1541.2550048828125,16.670644760131836,0.5318877696990967,-1.0001597551186587,1.9943464796958614,0.0987890213727951,0.10504816472530365,0.361772358417511,-0.019109725952148438,0.042795658111572266,0.16927555916939196,5,0.7081819776557092,False,10,8,42,celu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_elu.pth,lora,0.07967929542064667,0.054714225232601166,0.40456801652908325,0.22885601222515106,0.7630242109298706,1541.2550048828125,16.670644760131836,0.5318877696990967,-1.0001597551186587,1.9943464796958614,0.0987890213727951,0.10504816472530365,0.361772358417511,-0.019109725952148438,0.042795658111572266,0.16927555916939196,5,0.7081819776557092,False,10,8,42,elu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_gelu.pth,lora,0.029989011585712433,0.018451888114213943,0.18966460227966309,0.07438133656978607,0.7630242109298706,1452.8753662109375,18.717723846435547,0.6154336929321289,-1.0002141943002487,1.9981230248678756,0.02070603333413601,0.016011303290724754,0.1018013283610344,0.009282978251576424,0.08786327391862869,0.1596439168639513,7,0.6488531757271888,False,10,8,42,gelu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_gelu_tanh.pth,lora,0.030041687190532684,0.018516702577471733,0.1907484233379364,0.07492022216320038,0.7630242109298706,1452.807373046875,18.706953048706055,0.6154336929321289,-1.000213234418639,1.9981228916011535,0.02079109475016594,0.016106942668557167,0.10246733576059341,0.009250592440366745,0.08828108757734299,0.15964592468222485,7,0.6489061185097899,False,10,8,42,gelu_tanh,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_hardswish.pth,lora,0.058370668441057205,0.034298188984394073,0.3516148328781128,0.17022700607776642,0.7630242109298706,1464.7850341796875,17.662635803222656,0.5854591727256775,-1.0001230906444725,1.9980946763999765,0.04768585413694382,0.03806101158261299,0.23045937716960907,0.010684814304113388,0.12115545570850372,0.16281509393351953,6,0.7140069938884381,False,10,8,42,hardswish,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_leaky_relu.pth,lora,0.47635239362716675,0.4639130234718323,0.7531057596206665,0.6751266717910767,0.7630242109298706,995.9937133789062,4.572147369384766,0.3928571343421936,-0.06521120327864811,1.0177463131667697,0.3471086621284485,0.27546176314353943,0.3611588478088379,0.12924373149871826,0.3919469118118286,0.15968205537086488,8,0.53278224383697,False,10,8,42,leaky_relu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_mish.pth,lora,0.03083796426653862,0.017712850123643875,0.216197669506073,0.08462624996900558,0.7630242109298706,1494.560302734375,19.29535675048828,0.6116071343421936,-1.000161638758925,1.9981043638796117,0.02179812081158161,0.01581786386668682,0.11969374865293503,0.009039843454957008,0.09650392085313797,0.15936364650969045,7,0.6929210396144494,False,10,8,42,mish,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_relu.pth,lora,0.4764121472835541,0.4639647305011749,0.7531452178955078,0.67516028881073,0.7630242109298706,995.660888671875,4.572009086608887,0.3928571343421936,-0.06519839672373043,1.0177431158597878,0.34715861082077026,0.27549776434898376,0.36120009422302246,0.1292535364627838,0.39194512367248535,0.16026677097200925,8,0.5287742780101168,False,10,8,42,relu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_selu.pth,lora,0.4737012982368469,0.4603230953216553,0.7511003017425537,0.6716387271881104,0.7630242109298706,1077.7738037109375,4.6130266189575195,0.3922193944454193,-0.06682752893156557,1.0171531050994673,0.34623852372169495,0.2745167016983032,0.3619682192802429,0.12746277451515198,0.3891320824623108,0.18442781592271337,3,0.6467136957886368,False,10,8,42,selu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T10_r8_s42_a149_sigmoid.pth,lora,0.49724334478378296,0.47204700112342834,0.6307292580604553,0.5718185901641846,0.7630242109298706,768.912353515625,6.911334037780762,0.5070152878761292,-0.9999581037488948,1.664643409842026,0.37377387285232544,0.2807840406894684,0.3884621858596802,0.12346947193145752,0.24226707220077515,0.06888864525312388,3,0.9775001244311077,False,10,8,42,sigmoid,0.01,1,l2,0.0,mnist,all,sgd,1.0
