activation,control_ssim,full_n_sweep_losses,full_n_sweep_winner,full_ssim,lora_n_sweep_losses,lora_n_sweep_winner,lora_ssim,n_steps,optimizer,rank,seed,track
leaky_relu,0.5820849537849426,"{1: 6.108846137673499e-28, 2: 0.0009231575402876594, 3: 0.0008278939935389637, 4: 0.0010481472318055703, 5: 0.003518570128366876}",1,0.6089491844177246,,,,1,sgd,,42,B4
leaky_relu,0.5987963676452637,,,,"{1: 4.6920803612118105, 2: 4.694357718132588, 3: 4.694107807575235, 4: 4.692747921834444, 5: 4.694791124573946}",1,0.6798371076583862,1,sgd,8,42,B4
leaky_relu,,"{1: 0.033155083435930134, 2: 0.02169843094712313, 3: 0.016776747325160928, 4: 0.016229102860505596, 5: 0.00767284289425106}",5,,,,,5,sgd,,42,B4
leaky_relu,0.6099263429641724,,,,"{1: 8.899761940255395, 2: 8.918285642094636, 3: 8.939217828467289, 4: 8.920667300189399, 5: 8.921382871962502}",1,0.7310391068458557,5,sgd,8,42,B4
leaky_relu,,"{1: 0.04315800741869173, 2: 0.02649146670929873, 3: 0.020511587048063374, 4: 0.01890926805774252, 5: 0.017342927765643727}",5,,,,,10,sgd,,42,B4
leaky_relu,,,,,"{1: 9.470789334121225, 2: 9.468351295109729, 3: 9.479826042694759, 4: 9.468603423278694, 5: 9.487472875899053}",2,,10,sgd,8,42,B4
leaky_relu,,"{1: 0.03852854833555712, 2: 0.03070814197651576, 3: 0.024214395782854232, 4: 0.020947194275502314, 5: 0.01959803141187656}",5,,,,,20,sgd,,42,B4
leaky_relu,,,,,"{1: 10.164034493271718, 2: 10.100840035663827, 3: 10.120617248486154, 4: 10.130074845168899, 5: 10.134764348726554}",2,,20,sgd,8,42,B4
