name,optimizer,tv_weight,ssim,psnr,mse,best_cos_sim,inversion_time
A_adam_tv1e-4,Adam,0.0001,0.03043064847588539,8.710516909293675,0.13457001745700836,0.9204190373420715,10914.058760881424
B_signAdam_tv1e-4,signAdam,0.0001,0.02004101499915123,8.172632145702735,0.15231293439865112,0.9340120553970337,6444.8213992118835
C_adam_tv1e-2,Adam,0.01,0.09021704643964767,9.75011541682462,0.10592255741357803,0.8864705562591553,5948.952265739441
D_signAdam_tv1e-2,signAdam,0.01,0.14391492307186127,10.87843351025549,0.08168769627809525,0.9333176612854004,10881.71359539032
