file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,n_steps,rank,seed,finetune_activation,lr,n_per_class,loss_type,anchor_alpha,dataset,source,finetune_optimizer,verify_weight
exp_b_T1_r8_s42_a149_celu.pth,lora,0.023174501955509186,0.004579000174999237,0.150098979473114,0.056961141526699066,0.7630242109298706,1423.31103515625,19.672475814819336,0.5784438848495483,-1.0000134586299718,1.9980478344639747,0.03644958883523941,0.037701260298490524,0.10676190257072449,-0.013275086879730225,0.043337076902389526,0.12513425357299604,2,0.8081314248480684,False,1,8,42,celu,0.01,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_s42_a149_celu_lr0.005.pth,lora,0.019875705242156982,0.00690087303519249,0.11212680488824844,0.04171086475253105,0.7630242109298706,1423.4508056640625,19.385868072509766,0.5809949040412903,-1.0000147990231145,1.9980442324289727,0.03974055126309395,0.04934152215719223,0.09325963258743286,-0.019864846020936966,0.018867172300815582,0.06256712678649802,2,0.9403404246134223,False,1,8,42,celu,0.005,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_s42_a149_celu_lr0.02.pth,lora,0.020173024386167526,0.0001418665051460266,0.15171854197978973,0.048926256597042084,0.7630242109298706,1425.838623046875,19.474449157714844,0.6039540767669678,-1.0000677416663621,1.9980736878667735,0.03198925405740738,0.030209925025701523,0.10925402492284775,-0.011816229671239853,0.042464517056941986,0.2502685071459921,2,0.5567650171326558,False,1,8,42,celu,0.02,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_s42_a149_celu_npc5_lr0.02_vw5.pth,lora,0.1877920925617218,0.1853085160255432,0.4411369264125824,0.35466790199279785,0.563728928565979,1510.357666015625,10.147970199584961,0.40089285373687744,-1.000001339586846,1.7678450360812863,0.16125454008579254,0.15491323173046112,0.34740668535232544,0.02653755247592926,0.09373024106025696,0.04910487753620925,4,0.9935898000708502,False,1,8,42,celu,0.02,5,l2,0.0,mnist,all,sgd,5.0
exp_b_T1_r8_s42_a149_celu_npc5_vw5.pth,lora,0.21565409004688263,0.21218125522136688,0.4903833270072937,0.40582650899887085,0.563728928565979,1522.795166015625,8.498144149780273,0.36454081535339355,-0.9859529600778036,1.7672027393384058,0.18605387210845947,0.16948652267456055,0.3854144215583801,0.029600217938423157,0.10496890544891357,0.024552438768104624,4,0.9983740390935328,False,1,8,42,celu,0.01,5,l2,0.0,mnist,all,sgd,5.0
exp_b_T1_r8_s42_a149_elu.pth,lora,0.023174501955509186,0.004579000174999237,0.150098979473114,0.056961141526699066,0.7630242109298706,1423.31103515625,19.672475814819336,0.5784438848495483,-1.0000134586299718,1.9980478344639747,0.03644958883523941,0.037701260298490524,0.10676190257072449,-0.013275086879730225,0.043337076902389526,0.12513425357299604,2,0.8081314248480684,False,1,8,42,elu,0.01,1,l2,0.0,mnist,,,
exp_b_T1_r8_s42_a149_elu_lr0.005.pth,lora,0.019875705242156982,0.00690087303519249,0.11212680488824844,0.04171086475253105,0.7630242109298706,1423.4508056640625,19.385868072509766,0.5809949040412903,-1.0000147990231145,1.9980442324289727,0.03974055126309395,0.04934152215719223,0.09325963258743286,-0.019864846020936966,0.018867172300815582,0.06256712678649802,2,0.9403404246134223,False,1,8,42,elu,0.005,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_s42_a149_elu_lr0.02.pth,lora,0.020173024386167526,0.0001418665051460266,0.15171854197978973,0.048926256597042084,0.7630242109298706,1425.838623046875,19.474449157714844,0.6039540767669678,-1.0000677416663621,1.9980736878667735,0.03198925405740738,0.030209925025701523,0.10925402492284775,-0.011816229671239853,0.042464517056941986,0.2502685071459921,2,0.5567650171326558,False,1,8,42,elu,0.02,1,l2,0.0,mnist,all,sgd,1.0
exp_b_T1_r8_s42_a149_elu_lr0.03.pth,lora,0.01387060433626175,-0.0014020875096321106,0.12191387265920639,0.03855917602777481,0.7630242109298706,1428.0810546875,19.999923706054688,0.6211734414100647,-1.0001568997107915,1.9980942893323757,0.024570129811763763,0.026249133050441742,0.09046666324138641,-0.010699525475502014,0.03144720941781998,0.37540276071898815,2,0.4013043401978551,False,1,8,42,elu,0.03,1,l2,0.0,mnist,,,
exp_b_T1_r8_s42_a149_elu_lr0.1.pth,lora,0.023051634430885315,0.002417962998151779,0.10388906300067902,0.03052622079849243,0.7630242109298706,1424.6263427734375,20.439212799072266,0.6294642686843872,-1.0016247115069616,1.9986321943178686,0.03210088983178139,0.024571627378463745,0.07579606771469116,-0.009049255400896072,0.028092995285987854,1.2513425357299603,2,0.13096943409051853,False,1,8,42,elu,0.1,1,l2,0.0,mnist,,,
